rank,amfi_code,scheme_name,cagr_3Y,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,final_score
18,119552,SBI Bluechip Fund - Direct Plan - Growth,16.263375081360643,1.0184672749439498,0.1986859936686296,0.66,-0.11803493502764295,45.0,72.5,65.0,10.0,75.0,53.625
19,118635,Nippon India ETF Nifty 50 BeES,20.00321571698329,0.6822004088012276,0.1513635464823924,0.89,-0.1165062450540909,60.0,52.5,45.0,32.5,77.5,52.75
20,120503,ICICI Pru Bluechip Fund - Regular - Growth,13.974980348212673,0.8333661730515961,0.17703302365844073,1.42,-0.13897862823061635,40.0,57.49999999999999,60.0,50.0,67.5,52.625
21,149322,DSP Top 100 Equity Fund - Regular - Growth,18.03973982038829,0.44551522954529593,0.13173190226099432,1.54,-0.14844576917771746,50.0,40.0,42.5,76.25,62.5,51.1875
22,120841,Kotak Bluechip Fund - Regular - Growth,17.263014444437943,0.48488086635585487,0.13042924450705445,1.59,-0.1757361416468729,47.5,42.5,40.0,87.5,42.5,50.25
23,120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.417429266835228,0.652598814060328,0.1625385327998104,1.41,-0.1982565826298267,52.5,47.5,52.5,47.5,35.0,48.75
24,118633,Nippon India Large Cap Fund - Direct - Growth,21.084691029380597,0.6545156567184499,0.15643835948169668,0.72,-0.18629743138595511,65.0,50.0,47.5,13.750000000000002,37.5,47.3125
25,118634,Nippon India Small Cap Fund - Regular - Growth,8.0060298597036,0.36672383223898997,0.1750072167561127,1.53,-0.2334488614483311,35.0,37.5,57.49999999999999,71.25,22.5,44.3125
26,120507,ICICI Pru Liquid Fund - Regular - Growth,7.392538786263403,0.9621978200760791,0.06746210411099539,0.74,-0.0009773140045925555,30.0,62.5,25.0,17.5,100.0,42.25
27,119093,Axis Bluechip Fund - Direct - Growth,20.8115598266319,0.07941632563939467,0.08232801295222093,0.75,-0.21751396370148224,62.5,30.0,32.5,20.0,25.0,38.25
28,120842,Kotak Emerging Equity Fund - Regular - Growth,7.75416750547262,-0.002277193647775677,0.0780443887615508,1.56,-0.24003511326274884,32.5,25.0,30.0,82.5,20.0,36.375
29,119092,Axis Bluechip Fund - Regular - Growth,0.5257668501786883,-0.025941468243930912,0.0689952982167755,1.64,-0.1440161790933726,12.5,22.5,27.500000000000004,98.75,65.0,36.1875
30,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.242518737374208,0.23892861969172163,0.11989100971217971,0.78,-0.21117279560132118,37.5,32.5,37.5,25.0,30.0,33.625
31,120844,Kotak Liquid Fund - Regular - Growth,6.694394239074852,0.32146537866758584,0.06455677495375998,0.6,-0.0011629327956168556,27.500000000000004,35.0,22.5,7.5,97.5,32.375
32,101207,ABSL Small Cap Fund - Regular - Growth,-4.151453816140693,0.04458442223255971,0.10897091901704538,1.53,-0.3544691649336603,5.0,27.500000000000004,35.0,71.25,7.5,26.8125
33,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.838988442093762,-0.20739200506522731,0.05620895216638369,0.77,-0.04328728923970093,22.5,15.0,17.5,22.5,90.0,26.375
33,101208,ABSL Liquid Fund - Regular - Growth,6.314299292105274,-0.44645868161721297,0.060861457957871144,0.79,-0.0016224980244717857,25.0,5.0,20.0,27.500000000000004,95.0,26.375
35,100016,HDFC Top 100 Fund - Regular Plan - Growth,1.2923525892154508,-0.27196012113715706,0.03747580763443281,1.55,-0.24734440880673303,15.0,12.5,5.0,80.0,17.5,22.375
36,118636,Nippon India Gilt Securities Fund - Regular - Growth,4.061259859840338,-0.3447830825954494,0.05074772999976104,0.55,-0.08316361763638702,20.0,7.5,15.0,2.5,87.5,20.0
37,100025,HDFC Short Term Debt Fund - Regular - Growth,3.9154793546847033,-0.5636899112317463,0.042817920315060876,0.56,-0.04308263824636349,17.5,2.5,7.5,5.0,92.5,17.375
38,102886,UTI Mid Cap Fund - Regular - Growth,-0.7672319440258146,-0.29609469806718336,0.02896939786637944,1.51,-0.2800112356639287,10.0,10.0,2.5,61.25000000000001,15.0,16.6875
39,119095,Axis Small Cap Fund - Regular - Growth,-11.703299329834216,-0.2007537121440212,0.04801595363775955,1.38,-0.5167775370852656,2.5,17.5,10.0,42.5,5.0,14.0
40,119599,SBI Small Cap Fund - Direct Plan - Growth,-1.337083602283895,-0.18109037554061264,0.048824215945539845,0.72,-0.5257422117012851,7.5,20.0,12.5,13.750000000000002,2.5,12.0625
